Data Upload? (Initial),Processed By,Date Planted,Planter Type,Collection Site,Collection Date,Species,Tag ID,Condition,Mass (g),Width (mm),total length (cm),plumule length (cm),hypocotyl length (cm),Hypocotyl Color,Roots (Y/N),Float (Y/N),NOTES,"Part of Something       (C=Community Event, N=nothing, E=experiment, MIC=mangroves in the classroom or storm strong plant)",Plant Name
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,94,S,7.2,7.98,21.4,1.2,21.3,Br,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,95,S,12.83,10.5,25.8,1.2,24.3,BrGr,Y,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,96,S,9.81,8.08,24,NA,23.9,BrGr,Y,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,97,H,15.63,11.21,27.7,1,26.4,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,98,H,15.44,10.09,29.8,1,29,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,99,S,6.23,7.16,16.8,0.8,15.7,OlGr,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,100,S,4.06,5.97,17.1,0.6,16.2,OlGr,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,101,H,8.46,8.3,24.5,1,23.6,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,102,H,10.37,9.54,22.5,1.2,21.5,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,103,H,12.03,11.28,19.7,1.2,18.8,OlGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,104,S,8.89,8.88,21.1,1.2,20.1,BrGr,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,105,S,13.7,10,27.8,1.2,26.6,OlGr,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,106,S,4.73,6.51,17.6,NA,17.6,Br,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,107,S,8.03,8.77,21.3,1,20.4,BrGr,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,108,H,9.82,9.82,20.6,1.1,19.5,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,109,H,13,10.39,24.1,1.4,22.8,OlGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,110,S,13,9.53,27.2,1.3,26.1,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,111,S,6.16,7.7,20.5,0.9,19.9,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,112,H,15.24,11.21,26.7,1.4,25.3,OlGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,113,S,3.94,7.98,12.2,NA,12.2,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,114,H,17.69,10.72,31.2,1.3,29.8,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,115,S,19.4,12.51,27.5,NA,27.5,Br,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,116,S,19.16,12.16,27.1,1.3,25.9,OlGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,117,S,11.09,9.13,27,1.1,26,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,118,H,22.76,12.49,35,1.6,32.8,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,119,H,10.89,10.25,20.2,1.3,19.4,OlGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,120,H,16.12,10.25,31,1.7,29.3,BrGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,121,H,12.61,9.86,25.5,1.3,24.3,BrGr,N/A,N,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,122,H,17.72,11.35,26.9,1.2,25.6,OlGr,N/A,Y,,N,
ST,"AND, AH, KWG",05/11/2021,N/A,Oasis Cove,4/16/2021,RHMA,123,H,9.26,9.44,21.8,1,20.6,OlGr,N/A,Y,,N,
